"Genes","ENSMBLID","chr","start","stop"
"RP11-781D11.1","ENSG00000235549.1","chr1",39423947,39424597
"WI2-2994D6.1","ENSG00000224199.1","chr1",13196270,13199067
"NLRP3","ENSG00000162711.12","chr1",247579458,247612410
"LDLRAD2","ENSG00000187942.7","chr1",22138758,22151714
"RP11-148B18.1","ENSG00000231363.1","chr1",94713464,94715048
"RABIF","ENSG00000183155.4","chr1",202848085,202858263
"RP11-575B7.3","ENSG00000238242.1","chr1",60580547,60615351
"CHIAP3","ENSG00000234020.1","chr1",111895897,111910031
"RPS15AP11","ENSG00000234093.2","chr1",45245998,45246387
"RP5-866L20.2","ENSG00000237173.1","chr1",54990497,54990604
"OR6K2","ENSG00000196171.2","chr1",158669369,158670486
"POU5F1P4","ENSG00000237872.3","chr1",155402969,155404053
"AL592310.1","ENSG00000265216.1","chr1",227832981,227833067
"RP11-223A3.1","ENSG00000227527.2","chr1",42801057,42804047
"FAM229A","ENSG00000225828.1","chr1",32826871,32829879
"CCDC17","ENSG00000159588.10","chr1",46085716,46089729
"LAMTOR5P1","ENSG00000236646.1","chr1",62504514,62504783
"RP11-203F10.6","ENSG00000219133.2","chr1",204315904,204316386
"S100A6","ENSG00000197956.5","chr1",153507075,153508720
"AC096645.1","ENSG00000211554.2","chr1",203968373,203968471
"TRIM17","ENSG00000162931.7","chr1",228595641,228604562
"RP11-139I14.2","ENSG00000237390.1","chr1",156358018,156365401
"RP11-104L21.2","ENSG00000233411.1","chr1",167426620,167427898
"RP5-886K2.3","ENSG00000236810.1","chr1",24086872,24104777
"OR13Z3P","ENSG00000272480.1","chr1",146953988,146954378
"LINC00624","ENSG00000234610.1","chr1",146986158,146989699
"RP11-782C8.7","ENSG00000229420.1","chr1",143245164,143245590
"RNU6-983P","ENSG00000251813.1","chr1",194457233,194457335
"HSD17B7P1","ENSG00000232908.3","chr1",247990788,247991804
"UBE2V1P8","ENSG00000233118.2","chr1",41407923,41408187
"RP11-289H16.1","ENSG00000224363.1","chr1",144089214,144091946
"GAPDHP46","ENSG00000224678.3","chr1",92580360,92581353
"RNA5SP47","ENSG00000253039.1","chr1",45397995,45398103
"CD244","ENSG00000122223.8","chr1",160799950,160832692
"TARS2","ENSG00000143374.10","chr1",150459887,150480078
"ALDH9A1","ENSG00000143149.8","chr1",165631453,165668100
"HMGCL","ENSG00000117305.10","chr1",24128375,24165110
"RP4-704D21.2","ENSG00000234225.2","chr1",146473490,146475177
"PDIK1L","ENSG00000175087.5","chr1",26437664,26452034
"PIGM","ENSG00000143315.5","chr1",159997462,160001783
"MIR4424","ENSG00000266417.1","chr1",178646884,178646969
"RP11-277L2.3","ENSG00000233368.2","chr1",149576594,149577296
"S100A7","ENSG00000143556.4","chr1",153430220,153433177
"RP5-836J3.1","ENSG00000237076.1","chr1",84255963,84267148
"RNU6-1089P","ENSG00000252282.1","chr1",245186317,245186420
"NDUFS2","ENSG00000158864.8","chr1",161166894,161184185
"SETDB1","ENSG00000143379.8","chr1",150898739,150937213
"CACHD1","ENSG00000158966.9","chr1",64936428,65158741
"OTUD7B","ENSG00000163113.10","chr1",149909705,149982625
"YTHDF2","ENSG00000198492.10","chr1",29063133,29096287
"RP11-196G18.21","ENSG00000242663.1","chr1",149754433,149783312
"C1orf185","ENSG00000204006.4","chr1",51567906,51613752
"RP11-270C12.3","ENSG00000224550.1","chr1",108047825,108048070
"RP13-221M14.4","ENSG00000236179.1","chr1",13171871,13173157
"LINC00303","ENSG00000176754.8","chr1",204001575,204010393
"DHRS3","ENSG00000162496.4","chr1",12627939,12677737
"RP5-855F14.2","ENSG00000230404.1","chr1",234701044,234705834
"HHLA3","ENSG00000197568.9","chr1",70820488,70851022
"FBLIM1","ENSG00000162458.8","chr1",16083102,16113089
"RAD54L","ENSG00000085999.7","chr1",46713360,46744145
"RP4-655J12.4","ENSG00000233154.1","chr1",116966346,117021464
"RP4-604K5.3","ENSG00000267734.1","chr1",87397882,87400574
"RP11-98G7.1","ENSG00000236947.1","chr1",156416204,156426369
"RP11-337C18.9","ENSG00000271721.1","chr1",146647181,146649319
"RP4-758J18.7","ENSG00000225905.1","chr1",1355625,1358071
"SNORA59A","ENSG00000239149.1","chr1",12567300,12567451
"RP1-202O8.3","ENSG00000271746.1","chr1",6453615,6454451
"ELAVL4","ENSG00000162374.12","chr1",50513686,50669458
"PROX1","ENSG00000117707.11","chr1",214156524,214214595
"RP11-487E1.2","ENSG00000236073.2","chr1",21400132,21400246
"RP11-193H5.1","ENSG00000237250.3","chr1",238025475,238091621
"CFHR1","ENSG00000244414.2","chr1",196788887,196801319
"VSIG8","ENSG00000243284.1","chr1",159824106,159832447
"RNU6-880P","ENSG00000207256.1","chr1",43457109,43457215
"ENO1","ENSG00000074800.9","chr1",8921061,8939308
"RP5-1024G6.8","ENSG00000270172.1","chr1",53708036,53710212
"RP4-801G22.3","ENSG00000233712.1","chr1",157606090,157610091
"RP11-435F13.2","ENSG00000238085.1","chr1",241161751,241162094
"RP11-397P13.7","ENSG00000223505.2","chr1",203804713,203805040
"RNVU1-1","ENSG00000238603.1","chr1",143647014,143647177
"RP4-651E10.3","ENSG00000224466.1","chr1",87018308,87019025
"RNVU1-5","ENSG00000206828.1","chr1",144491442,144491605
"Y_RNA","ENSG00000206659.1","chr1",174991615,174991716
"TOR1AIP2","ENSG00000169905.8","chr1",179809102,179846938
"OLFM3","ENSG00000118733.12","chr1",102268130,102462586
"SPRR2D","ENSG00000163216.6","chr1",153012201,153014407
"AL583842.2","ENSG00000265466.1","chr1",142656062,142656144
"RP5-1068B5.1","ENSG00000230331.1","chr1",229560767,229561397
"RP11-289I10.3","ENSG00000271291.1","chr1",148229952,148230238
"SNORA40","ENSG00000253047.1","chr1",150573015,150573135
"PEX14","ENSG00000142655.8","chr1",10532345,10690815
"OPTC","ENSG00000188770.5","chr1",203463271,203477992
"FAM72D","ENSG00000215784.4","chr1",143896452,143913143
"RP11-96L14.7","ENSG00000236782.1","chr1",26496438,26498312
"CASP9","ENSG00000132906.13","chr1",15817327,15853029
"ADH5P3","ENSG00000223694.1","chr1",240333455,240334591
"RP11-495P10.6","ENSG00000234283.1","chr1",147744014,147752855
"LINC00622","ENSG00000260941.1","chr1",120140325,120141894
"ABHD17AP2","ENSG00000198658.4","chr1",146076838,146080009
"ZCCHC17","ENSG00000121766.10","chr1",31769842,31837783
"HIST3H2A","ENSG00000181218.4","chr1",228645065,228645560
"RP11-513D4.1","ENSG00000213690.3","chr1",242540225,242540734
"DNALI1","ENSG00000163879.9","chr1",38022520,38032458
"RP5-864K19.4","ENSG00000228436.2","chr1",39325672,39385068
"RP11-56N19.5","ENSG00000177553.6","chr1",11837134,11839676
"RN7SL788P","ENSG00000241745.2","chr1",52615777,52616089
"SNORA58","ENSG00000201129.1","chr1",154232203,154232338
"RN7SKP285","ENSG00000222069.1","chr1",104066184,104066501
"RNVU1-4","ENSG00000207106.1","chr1",144311213,144311376
"FCGR1A","ENSG00000150337.9","chr1",149754227,149764074
"RP11-372M18.2","ENSG00000231648.1","chr1",209541007,209553035
"RP11-67L3.2","ENSG00000237453.1","chr1",55258558,55260578
"ASNSP5","ENSG00000229683.1","chr1",142799587,142799739
"AL626787.1","ENSG00000267884.1","chr1",166026679,166028709
"WNT3A","ENSG00000154342.4","chr1",228194752,228248961
"Y_RNA","ENSG00000207080.2","chr1",184284792,184284899
"RNU2-15P","ENSG00000222624.1","chr1",65881499,65881689
"MTF2","ENSG00000143033.13","chr1",93544792,93604638
"RP4-535B20.1","ENSG00000231485.1","chr1",65532310,65533420
"AL583842.3","ENSG00000266657.1","chr1",142653525,142653607
"SNORA25","ENSG00000252011.1","chr1",246996750,246996831
"CLCNKB","ENSG00000184908.13","chr1",16370272,16383803
"Y_RNA","ENSG00000222168.1","chr1",59187951,59188044
"RP4-620F22.3","ENSG00000238081.1","chr1",89755359,89756020
"NBPF13P","ENSG00000227242.2","chr1",146490895,146596107
"MIR5698","ENSG00000263987.1","chr1",154076997,154077068
"C1orf216","ENSG00000142686.7","chr1",36179476,36185073
"RP11-373J16.2","ENSG00000226196.1","chr1",189101481,189102423
"CENPF","ENSG00000117724.8","chr1",214776538,214837931
"LY9","ENSG00000122224.13","chr1",160765864,160798051
"CR1","ENSG00000203710.6","chr1",207669492,207813992
"PYHIN1","ENSG00000163564.10","chr1",158900586,158946844
"MIR3118-3","ENSG00000266811.1","chr1",143424141,143424215
"SLC2A7","ENSG00000197241.3","chr1",9063359,9086404
"PIN1P1","ENSG00000229359.2","chr1",70385005,70386000
"KIF17","ENSG00000117245.8","chr1",20990507,21044510
"C1orf134","ENSG00000204377.3","chr1",16555368,16556038
"PSAT1P3","ENSG00000230787.1","chr1",79520630,79521740
"KDM1A","ENSG00000004487.11","chr1",23345941,23410182
"KIAA0907","ENSG00000132680.6","chr1",155882834,155904191
"FPGT-TNNI3K","ENSG00000259030.2","chr1",74663919,75009666
"RC3H1","ENSG00000135870.7","chr1",173900352,173991435
"CDK11A","ENSG00000008128.18","chr1",1634169,1655766
"OR14A2","ENSG00000241128.1","chr1",247886401,247887345
"KIAA1614","ENSG00000135835.6","chr1",180882290,180920750
"RP5-1097F14.1","ENSG00000229595.1","chr1",231253577,231254071
"RP11-69E9.1","ENSG00000225952.1","chr1",23162206,23163342
"RP11-353N4.8","ENSG00000232151.5","chr1",149605640,149633208
"PRAMEF19","ENSG00000204480.6","chr1",13694889,13698405
"TNFRSF1B","ENSG00000028137.12","chr1",12227060,12269285
"RP5-902P8.12","ENSG00000260179.1","chr1",1185157,1186714
"RN7SKP291","ENSG00000199831.1","chr1",55842199,55842525
"RP4-784A16.1","ENSG00000234578.1","chr1",53733607,53734273
"CA14","ENSG00000118298.6","chr1",150229554,150237478
"RP11-152L7.2","ENSG00000232100.1","chr1",218216847,218232482
"snoU13","ENSG00000239020.1","chr1",17776259,17776359
"DCDC2B","ENSG00000222046.2","chr1",32674695,32681797
"SNORD78","ENSG00000208317.1","chr1",173834760,173834824
"RP11-410C4.2","ENSG00000234863.1","chr1",220628496,220628654
"RP4-591L5.2","ENSG00000231949.1","chr1",30888672,30893955
"IPO9-AS1","ENSG00000231871.1","chr1",201657387,201798687
"RP11-426L16.3","ENSG00000225075.1","chr1",113236310,113239243
"LRRC40","ENSG00000066557.5","chr1",70610488,70671303
"TRIM45","ENSG00000134253.5","chr1",117653682,117665209
"RP11-466F5.8","ENSG00000224358.1","chr1",165738166,165744413
"RP11-291L19.1","ENSG00000236872.1","chr1",45880692,45881016
"HFM1","ENSG00000162669.11","chr1",91726323,91870426
"snoU13","ENSG00000238511.1","chr1",153726600,153726703
"CLSTN1","ENSG00000171603.12","chr1",9789084,9884584
"OR6N1","ENSG00000197403.2","chr1",158735466,158736492
"RNA5SP75","ENSG00000252650.1","chr1",204676448,204676558
"RP5-837O21.3","ENSG00000236689.1","chr1",94392171,94393125
"RNA5SP53","ENSG00000212601.1","chr1",93953890,93954009
"WDR26","ENSG00000162923.10","chr1",224572845,224624735
"AL691523.1","ENSG00000264428.1","chr1",3800628,3800697
"TPM3","ENSG00000143549.15","chr1",154127784,154167124
"PDZK1P1","ENSG00000215860.3","chr1",145924388,145942619
"AC119674.1","ENSG00000223307.2","chr1",56843005,56843090
"RP5-1125N11.1","ENSG00000229607.1","chr1",31283225,31288400
"RP11-32D17.4","ENSG00000235748.1","chr1",197107878,197108437
"AL157902.3","ENSG00000236866.1","chr1",118139454,118148392
"KIF1B","ENSG00000054523.12","chr1",10270863,10441661
"C1orf65","ENSG00000178395.5","chr1",223566715,223568812
"RP11-117D22.2","ENSG00000230138.1","chr1",53832340,53833917
"SYF2","ENSG00000117614.5","chr1",25549170,25558993
"TARDBP","ENSG00000120948.11","chr1",11072414,11085796
"MIR4671","ENSG00000264377.1","chr1",234442213,234442285
"F13B","ENSG00000143278.3","chr1",197008321,197036397
"ALX3","ENSG00000156150.6","chr1",110602616,110613322
"S100A5","ENSG00000196420.3","chr1",153509623,153514241
"RP11-547I7.1","ENSG00000225811.1","chr1",190234028,190331400
"RP11-385F5.4","ENSG00000230325.1","chr1",236703394,236713580
"TMEM9","ENSG00000116857.12","chr1",201103900,201140702
"VDAC1P4","ENSG00000235060.1","chr1",180403935,180405071
"RP4-559A3.7","ENSG00000255835.1","chr1",226074396,226111978
"RPS15AP7","ENSG00000234088.1","chr1",62656194,62656598
"GS1-304P7.1","ENSG00000233196.2","chr1",186549647,186550323
"LRRC42","ENSG00000116212.10","chr1",54411750,54433841
"RNU6-755P","ENSG00000201270.1","chr1",164949272,164949374
"Y_RNA","ENSG00000201868.1","chr1",35661570,35661663
"RP11-656D10.5","ENSG00000227278.1","chr1",40980133,40980729
"RPS6KC1","ENSG00000136643.7","chr1",213224589,213448116
"RD3","ENSG00000198570.5","chr1",211649864,211666259
"RP13-614K11.1","ENSG00000233304.1","chr1",4000673,4015322
"RP5-1109J22.1","ENSG00000232022.2","chr1",46897801,46911193
"SCCPDH","ENSG00000143653.9","chr1",246887349,246931439
"FRRS1","ENSG00000156869.8","chr1",100174259,100232187
"FMOD","ENSG00000122176.10","chr1",203309756,203320617
"snoU13","ENSG00000238871.1","chr1",38215874,38215974
"LCK","ENSG00000182866.12","chr1",32716840,32751766
"TBX15","ENSG00000092607.9","chr1",119425669,119532179
"Y_RNA","ENSG00000223254.1","chr1",85729979,85730085
"RP11-376N17.4","ENSG00000249237.1","chr1",84810361,84815622
"RP11-532L16.1","ENSG00000213045.3","chr1",200298289,200298805
"RP11-85G21.3","ENSG00000271736.1","chr1",157250506,157252858
"MIR3116-1","ENSG00000263908.1","chr1",62544458,62544531
"Y_RNA","ENSG00000206651.1","chr1",156453890,156454002
"RN7SL503P","ENSG00000240374.2","chr1",35757801,35758099
"RPL5P5","ENSG00000213051.3","chr1",185195940,185196832
"RP11-29H23.6","ENSG00000223503.1","chr1",155560392,155561053
"RP11-393M18.1","ENSG00000228012.1","chr1",187505233,187505431
"RNA5S11","ENSG00000199334.1","chr1",228768378,228768496
"AC104457.1","ENSG00000216067.1","chr1",100844238,100844331
"RP11-248I9.2","ENSG00000233940.1","chr1",35519069,35524872
"C1orf56","ENSG00000143443.9","chr1",151020216,151024462
"RP3-445O10.1","ENSG00000235089.1","chr1",81674253,81674895
"ZMYND12","ENSG00000066185.8","chr1",42896000,42921938
"AL008733.1","ENSG00000256761.1","chr1",2978523,2978959
"CD46","ENSG00000117335.14","chr1",207925402,207968858
"RP11-63G10.3","ENSG00000272226.1","chr1",59278480,59279014
"RP11-193P11.3","ENSG00000231413.1","chr1",48544459,48547868
"RP11-350G8.7","ENSG00000228264.1","chr1",154386845,154387613
"RP11-5P18.5","ENSG00000233078.1","chr1",16332655,16333166
"AL358354.1","ENSG00000266683.1","chr1",180514968,180515067
"OR13Z2P","ENSG00000272443.1","chr1",146917312,146917866
"AL356693.1","ENSG00000216045.2","chr1",5875931,5876019
"RP4-735C1.6","ENSG00000228420.1","chr1",110370977,110414058
"RP11-467I20.4","ENSG00000226014.1","chr1",240713167,240713678
"C1orf173","ENSG00000178965.9","chr1",75033795,75139422
"RP11-222A5.1","ENSG00000224718.1","chr1",175846479,175849604
"AC096633.1","ENSG00000221403.1","chr1",200113962,200114063
"RP1-79C4.1","ENSG00000235303.1","chr1",170567995,170616480
"TBCAP2","ENSG00000235829.1","chr1",15018625,15019109
"AL592205.2","ENSG00000265771.1","chr1",97401101,97401219
"RP11-316M1.3","ENSG00000231073.1","chr1",150945599,150948010
"RP11-84O12.2","ENSG00000213421.4","chr1",101052205,101052987
"NOL9","ENSG00000162408.10","chr1",6581407,6614595
"RP11-399E6.1","ENSG00000235358.1","chr1",41708045,41750533
"MOB3C","ENSG00000142961.10","chr1",47073387,47082563
"SNORD103A","ENSG00000200154.1","chr1",31408535,31408620
"CTA-520D8.2","ENSG00000237445.2","chr1",13983806,13986405
"ERMAP","ENSG00000164010.9","chr1",43282795,43310660
"RP11-14O19.1","ENSG00000230434.1","chr1",95816807,95817810
"RNPC3","ENSG00000185946.11","chr1",104068313,104097861
"RP11-415J8.3","ENSG00000225313.2","chr1",33772967,33791644
"DCAF8","ENSG00000258465.2","chr1",160187254,160254920
"RP11-488L18.8","ENSG00000232347.1","chr1",247373993,247405125
"RP11-316I3.2","ENSG00000238054.1","chr1",188838608,188856565
"ILF2","ENSG00000143621.12","chr1",153634512,153643524
"AC004824.2","ENSG00000269468.1","chr1",17655507,17676070
"RP4-635E8.1","ENSG00000215893.3","chr1",41564310,41564808
"RP1-150O5.3","ENSG00000235052.1","chr1",23875630,23877406
"Y_RNA","ENSG00000202461.1","chr1",12084069,12084181
"C1orf127","ENSG00000175262.10","chr1",11006528,11042094
"RNU1-122P","ENSG00000202408.1","chr1",147806736,147806886
"F11R","ENSG00000270149.1","chr1",160967747,161008752
"RP11-263K19.4","ENSG00000231064.1","chr1",155166659,155175286
"XCL1","ENSG00000143184.4","chr1",168545711,168551315
"CNST","ENSG00000162852.9","chr1",246729746,246831886
"NUP210L","ENSG00000143552.5","chr1",153965161,154127592
"RN7SKP160","ENSG00000200674.1","chr1",173760686,173761025
"GPN2","ENSG00000142751.10","chr1",27202624,27216788
"RN7SL131P","ENSG00000264592.1","chr1",36657516,36657769
"RP11-201O14.2","ENSG00000232768.1","chr1",31523719,31523881
"FTH1P1","ENSG00000232273.1","chr1",38010364,38010895
"F5","ENSG00000198734.6","chr1",169483404,169555826
"NPM1P40","ENSG00000236523.2","chr1",203224871,203225603
"HNRNPA1P43","ENSG00000214204.4","chr1",116399531,116400440
"RP11-84A19.3","ENSG00000254545.1","chr1",32254731,32256923
"RP11-38O14.5","ENSG00000234761.1","chr1",202955685,202957710
"RPAP2","ENSG00000122484.8","chr1",92764522,92867613
"Y_RNA","ENSG00000200344.1","chr1",8042941,8043043
"RP11-495P10.10","ENSG00000225871.2","chr1",147907215,147909036
"RP11-25B7.1","ENSG00000236390.1","chr1",201642233,201643272
"RP5-998N21.3","ENSG00000237503.2","chr1",149340659,149341066
"RSC1A1","ENSG00000215695.1","chr1",15986364,15988217
"RP11-4M23.4","ENSG00000230228.2","chr1",24275506,24275873
"C1orf145","ENSG00000162913.9","chr1",228391207,228401365
"RPS27P5","ENSG00000238183.2","chr1",226969202,226969445
"ERO1LB","ENSG00000086619.9","chr1",236378855,236445319
"RP5-1113E3.3","ENSG00000203469.2","chr1",10518612,10519395
"RP11-365O16.3","ENSG00000232628.1","chr1",224396449,224400981
"MIR4420","ENSG00000264773.1","chr1",31212003,31212079
"RP11-552M11.4","ENSG00000243960.1","chr1",111981260,111983986
"AP006222.2","ENSG00000228463.4","chr1",227615,267253
"PCNXL2","ENSG00000135749.14","chr1",233119181,233431459
"ADAR","ENSG00000160710.11","chr1",154554538,154600475
"FBXO44","ENSG00000132879.9","chr1",11714432,11723384
"NADK","ENSG00000008130.11","chr1",1682671,1711896
"RP11-370K11.1","ENSG00000232184.1","chr1",243866159,243904123
"RRP15","ENSG00000067533.5","chr1",218458629,218511325
"OR6K4P","ENSG00000180437.4","chr1",158693903,158694902
"RP1-118J21.24","ENSG00000229213.1","chr1",40261515,40261668
"MIR4427","ENSG00000265744.1","chr1",233759898,233759965
"RP4-799P18.2","ENSG00000233332.1","chr1",234348352,234350834
"SSU72","ENSG00000160075.10","chr1",1477053,1510249
"ZRANB2","ENSG00000132485.8","chr1",71528974,71546980
"GJA9","ENSG00000131233.8","chr1",39330175,39347289
"FMO2","ENSG00000094963.9","chr1",171154347,171181822
"C1QC","ENSG00000159189.7","chr1",22970123,22974603
"RP11-193H5.2","ENSG00000243781.1","chr1",238090131,238090905
"RP11-184I16.3","ENSG00000233674.2","chr1",44209142,44209412
"LCE2A","ENSG00000187173.3","chr1",152670840,152671918
"RNU6-731P","ENSG00000253022.1","chr1",6600914,6601024
"LSM10","ENSG00000181817.5","chr1",36856839,36863493
"Y_RNA","ENSG00000202385.1","chr1",89485929,89486048
"RP11-439A17.5","ENSG00000268993.1","chr1",120880883,120881270
"DNAJC8","ENSG00000126698.6","chr1",28525967,28559536
"RP11-262K1.1","ENSG00000227016.2","chr1",73230714,73245974
"WI2-3658N16.1","ENSG00000232637.3","chr1",146032648,146253110
"RP11-494K3.2","ENSG00000229657.2","chr1",204915736,204916297
"RP5-882O7.4","ENSG00000232369.1","chr1",45453906,45454397
"RP11-377K22.3","ENSG00000224980.1","chr1",57051285,57051915
"ST7L","ENSG00000007341.14","chr1",113066140,113163447
"CTA-253N17.1","ENSG00000231084.2","chr1",185140467,185140842
"RP11-344P13.4","ENSG00000228826.2","chr1",121236177,121252181
"RP11-423O2.1","ENSG00000230255.1","chr1",142791488,142792556
"RP11-456P18.2","ENSG00000229808.1","chr1",161860623,161861986
"AL589685.1","ENSG00000228155.1","chr1",156293302,156293487
"RP11-38J22.6","ENSG00000240754.1","chr1",206288156,206306131
"RP11-356N1.2","ENSG00000226822.1","chr1",108614104,108617141
"HIST2H3A","ENSG00000203852.3","chr1",149824181,149825836
"RP5-998N21.4","ENSG00000234571.1","chr1",149372292,149379646
"RP4-739H11.3","ENSG00000237899.1","chr1",41134761,41153260
"PVRL4","ENSG00000143217.7","chr1",161040785,161059389
"RN7SL230P","ENSG00000264916.1","chr1",179869397,179869697
"PINK1-AS","ENSG00000117242.7","chr1",20969150,20978686
"XXyac-YX155B6.7","ENSG00000273059.1","chr1",147484031,147484460
"TMEM57","ENSG00000204178.5","chr1",25757388,25826700
"RN7SL444P","ENSG00000265753.1","chr1",151273143,151273439
"RABGAP1L","ENSG00000152061.17","chr1",174128548,174964445
